"","abberation","OR","p_value","n","frac","frac_other","cluster","p_adj","log_p_adj","log_p_adj_abs","frac_adj","sign","sign2"
"126","-2",3.66722819149982,0.00249362194663396,9,0.142857142857143,0.0433979686057248,"AML-MRC(2)",0.0219645456439261,1.65827777607162,1.65827777607162,0.142857142857143,"*",""
"127","+2",3.02729915417856,0.00247570839564347,12,0.19047619047619,0.07202216066482,"AML-MRC(2)",0.0219203347530932,1.65915281787421,1.65915281787421,0.19047619047619,"*",""
"128","-17/17p",3.67502791289234,0.00148469379829025,10,0.151515151515152,0.0462633451957295,"AML-MRC(2)",0.0145894766305978,1.83596028730602,1.83596028730602,0.151515151515152,"*",""
"129","-16",5.10581673066554,0.00145736124771874,7,0.125,0.0271356783919598,"AML-MRC(2)",0.0144041518669876,1.84151230838885,1.84151230838885,0.125,"*",""
"130","add12p",6.57664069404628,0.00105044145813562,6,0.0952380952380952,0.0156971375807941,"AML-MRC(2)",0.0109555244100034,1.96036682915578,1.96036682915578,0.0952380952380952,"*",""
"131","MRC cytogenetics",2.81218306953894,9.02255029415383e-05,33,0.5,0.262118491921005,"AML-MRC(2)",0.00140718674312491,2.85164826494828,2.85164826494828,0.5,"","."
"132","-1",4.74619917473586,2.62376812738499e-06,18,0.285714285714286,0.0775623268698061,"AML-MRC(2)",5.71846899558266e-05,3,3,0.285714285714286,"","."
"133","TP53",5.88547260197777,5.55339780525268e-08,20,0.32258064516129,0.0746543778801843,"AML-MRC(2)",1.74829190165362e-06,3,3,0.32258064516129,"","."
"134","-7/7q",4.94951592037541,1.47108447752669e-06,18,0.272727272727273,0.0702846975088968,"AML-MRC(2)",3.57263373113625e-05,3,3,0.272727272727273,"","."
"135","-5/5q",4.80782515242573,6.32338122543559e-06,16,0.242424242424242,0.0622775800711744,"AML-MRC(2)",0.000127973191467149,3,3,0.242424242424242,"","."
"136","-15",12.6432382414279,1.842593014429e-05,7,0.142857142857143,0.0129107981220657,"AML-MRC(2)",0.000340479143970576,3,3,0.142857142857143,"","."
"137","-9",13.970360326403,1.0761401264893e-05,7,0.125,0.0100502512562814,"AML-MRC(2)",0.000207890706253614,3,3,0.125,"","."
"138","+15",10.5465704233135,0.00575897106231064,3,0.1,0.010351966873706,"AML-MRC(1)",0.0409633924934229,1.38760408327826,1.38760408327826,0.1,"*",""
"139","+1",4.48350790961769,0.000297365025073975,11,0.305555555555556,0.0891891891891892,"AML-MRC(1)",0.00380090633553202,2.4201128324392,2.4201128324392,0.305555555555556,"","."
"140","MRC genes",4.90182813177562,5.321308258024e-06,19,0.513513513513513,0.176916596461668,"AML-MRC(1)",0.000110319805349278,3,3,0.513513513513513,"","."
"141","DNMT3A nonHsp",5.06151856536524,3.79631187875463e-05,13,0.351351351351351,0.0964685615848407,"AML-MRC(1)",0.000638983187513155,3,3,0.351351351351351,"","."
"142","IDH1-R132",17.0488961453553,5.36761298261169e-13,18,0.486486486486487,0.0522993688007214,"AML-MRC(1)",3.04164735681329e-11,3,3,0.486486486486487,"","."
"143","IDH2-R172",80.0012307774042,9.05881203842404e-13,10,0.27027027027027,0.00450856627592426,"AML-MRC(1)",4.81249389541277e-11,3,3,0.27027027027027,"","."
